時間,買賣契約價格平均總價(不分建物類別)
111Q2,1202.00
111Q1,1203.60
110Q4,1211.20
110Q3,1173.70
110Q2,1162.90
110Q1,1152.80
109Q4,1146.60
109Q3,1154.70
109Q2,1099.40
109Q1,1049.70
108Q4,1154.90
108Q3,1066.50
108Q2,1060.80
108Q1,1023.80
107Q4,1019.00
107Q3,1035.50
107Q2,1018.10
107Q1,1022.00
106Q4,1010.60
106Q3,996.10
106Q2,1001.30
106Q1,989.10
105Q4,982.20
105Q3,998.40
105Q2,1008.30
105Q1,965.90
104Q4,1023.20
104Q3,939.60
104Q2,929.10
104Q1,937.90
103Q4,962.10
103Q3,928.00
103Q2,940.30
103Q1,911.10
102Q4,919.00
102Q3,875.00
102Q2,899.90
102Q1,869.30
101Q4,850.80
101Q3,841.90
101Q2,893.50
101Q1,820.40
100Q4,777.90
100Q3,784.80
100Q2,821.20
100Q1,847.30
099Q4,877.50
099Q3,776.70
099Q2,798.00
099Q1,807.80
098Q4,774.40
098Q3,726.90
098Q2,730.60
098Q1,663.40
097Q4,628.90
097Q3,653.80
097Q2,723.10
097Q1,758.60
096Q4,692.10
096Q3,711.80
